Node,Name,Parent,Type,thumbType,Description,Position,Department
AAPL,Apple Inc.,,company,detail,Empresa tecnológica líder en dispositivos móviles y servicios digitales,CEO,Executive
AAPL-1,Dispositivos Móviles,AAPL,product,detail,Unidad de negocio de smartphones y tablets,VP Mobile Devices,Products
AAPL-1-1,iPhone,AAPL-1,product,detail,Smartphone principal de Apple,Product Manager,Mobile
AAPL-1-1-1,iPhone 15 Pro,AAPL-1-1,product,detail,Modelo premium con cámara avanzada,Senior Product Manager,Mobile
AAPL-1-1-2,iPhone 15,AAPL-1-1,product,detail,Modelo estándar con excelente relación calidad-precio,Product Manager,Mobile
AAPL-1-2,iPad,AAPL-1,product,detail,Tablets para productividad y entretenimiento,Product Manager,Tablets
AAPL-1-2-1,iPad Pro,AAPL-1-2,product,detail,Tablet profesional con Apple Pencil,Senior Product Manager,Tablets
AAPL-1-2-2,iPad Air,AAPL-1-2,product,detail,Tablet versátil para uso general,Product Manager,Tablets
AAPL-2,Computadoras,AAPL,product,detail,Unidad de negocio de computadoras personales,VP Computers,Products
AAPL-2-1,MacBook,AAPL-2,product,detail,Portátiles para profesionales y estudiantes,Product Manager,Laptops
AAPL-2-1-1,MacBook Pro,AAPL-2-1,product,detail,Portátil de alto rendimiento para profesionales,Senior Product Manager,Laptops
AAPL-2-1-2,MacBook Air,AAPL-2-1,product,detail,Portátil ultraligero y eficiente,Product Manager,Laptops
AAPL-2-2,iMac,AAPL-2,product,detail,Computadoras de escritorio todo en uno,Product Manager,Desktop
AAPL-2-2-1,iMac 24",AAPL-2-2,product,detail,Computadora de escritorio compacta,Product Manager,Desktop
AAPL-3,Servicios Digitales,AAPL,service,detail,Unidad de negocio de servicios y software,VP Digital Services,Services
AAPL-3-1,Apple Music,AAPL-3,service,detail,Plataforma de streaming musical,Service Manager,Entertainment
AAPL-3-1-1,Apple Music Individual,AAPL-3-1,service,detail,Suscripción individual de música,Product Manager,Entertainment
AAPL-3-1-2,Apple Music Family,AAPL-3-1,service,detail,Suscripción familiar de música,Product Manager,Entertainment
AAPL-3-2,Apple TV+,AAPL-3,service,detail,Plataforma de streaming de video,Service Manager,Entertainment
AAPL-3-2-1,Contenido Original,AAPL-3-2,service,detail,Series y películas exclusivas,Content Manager,Entertainment
AAPL-3-3,iCloud,AAPL-3,service,detail,Servicio de almacenamiento en la nube,Service Manager,Cloud
AAPL-3-3-1,iCloud Drive,AAPL-3-3,service,detail,Almacenamiento de archivos en la nube,Product Manager,Cloud
AAPL-3-3-2,iCloud Photos,AAPL-3-3,service,detail,Almacenamiento y sincronización de fotos,Product Manager,Cloud
AAPL-4,Dispositivos Wearables,AAPL,product,detail,Unidad de negocio de dispositivos portátiles,VP Wearables,Products
AAPL-4-1,Apple Watch,AAPL-4,product,detail,Reloj inteligente y dispositivo de salud,Product Manager,Wearables
AAPL-4-1-1,Apple Watch Series 9,AAPL-4-1,product,detail,Último modelo con funciones avanzadas,Senior Product Manager,Wearables
AAPL-4-1-2,Apple Watch SE,AAPL-4-1,product,detail,Modelo económico con funciones esenciales,Product Manager,Wearables
AAPL-4-2,AirPods,AAPL-4,product,detail,Auriculares inalámbricos,Product Manager,Audio
AAPL-4-2-1,AirPods Pro,AAPL-4-2,product,detail,Auriculares con cancelación de ruido activa,Senior Product Manager,Audio
AAPL-4-2-2,AirPods,AAPL-4-2,product,detail,Auriculares inalámbricos estándar,Product Manager,Audio

MSFT,Microsoft Corporation,,company,detail,Empresa líder en software y servicios en la nube,CEO,Executive
MSFT-1,Productividad y Negocios,MSFT,product,detail,Unidad de negocio de software de productividad,VP Productivity,Business
MSFT-1-1,Microsoft 365,MSFT-1,product,detail,Suite completa de productividad en la nube,Product Manager,Productivity
MSFT-1-1-1,Microsoft Word,MSFT-1-1,product,detail,Procesador de texto profesional,Senior Product Manager,Office
MSFT-1-1-2,Microsoft Excel,MSFT-1-1,product,detail,Hoja de cálculo y análisis de datos,Senior Product Manager,Office
MSFT-1-1-3,Microsoft PowerPoint,MSFT-1-1,product,detail,Software de presentaciones,Product Manager,Office
MSFT-1-2,Microsoft Teams,MSFT-1,product,detail,Plataforma de colaboración y comunicación,Product Manager,Communication
MSFT-1-2-1,Teams Chat,MSFT-1-2,service,detail,Mensajería instantánea empresarial,Service Manager,Communication
MSFT-1-2-2,Teams Meetings,MSFT-1-2,service,detail,Videoconferencias y reuniones virtuales,Service Manager,Communication
MSFT-2,Servicios en la Nube,MSFT,service,detail,Unidad de negocio de computación en la nube,VP Cloud Services,Cloud
MSFT-2-1,Microsoft Azure,MSFT-2,service,detail,Plataforma de computación en la nube,Service Manager,Cloud
MSFT-2-1-1,Azure Compute,MSFT-2-1,service,detail,Servicios de computación virtual,Product Manager,Cloud
MSFT-2-1-2,Azure Storage,MSFT-2-1,service,detail,Almacenamiento en la nube escalable,Product Manager,Cloud
MSFT-2-1-3,Azure AI,MSFT-2-1,service,detail,Servicios de inteligencia artificial,Product Manager,AI
MSFT-2-2,Microsoft Dynamics,MSFT-2,product,detail,Soluciones de gestión empresarial,Product Manager,ERP
MSFT-2-2-1,Dynamics 365,MSFT-2-2,product,detail,ERP y CRM en la nube,Senior Product Manager,ERP
MSFT-3,Sistemas Operativos,MSFT,product,detail,Unidad de negocio de sistemas operativos,VP Operating Systems,OS
MSFT-3-1,Windows 11,MSFT-3,product,detail,Sistema operativo para PC,Product Manager,Desktop
MSFT-3-1-1,Windows 11 Home,MSFT-3-1,product,detail,Windows para uso doméstico,Product Manager,Desktop
MSFT-3-1-2,Windows 11 Pro,MSFT-3-1,product,detail,Windows para profesionales,Product Manager,Desktop
MSFT-3-2,Windows Server,MSFT-3,product,detail,Sistema operativo para servidores,Product Manager,Server
MSFT-3-2-1,Windows Server 2022,MSFT-3-2,product,detail,Última versión del servidor Windows,Senior Product Manager,Server
MSFT-4,Entretenimiento y Juegos,MSFT,product,detail,Unidad de negocio de entretenimiento,VP Entertainment,Entertainment
MSFT-4-1,Xbox,MSFT-4,product,detail,Consola de videojuegos,Product Manager,Gaming
MSFT-4-1-1,Xbox Series X,MSFT-4-1,product,detail,Consola de próxima generación,Senior Product Manager,Gaming
MSFT-4-1-2,Xbox Series S,MSFT-4-1,product,detail,Consola económica de próxima generación,Product Manager,Gaming
MSFT-4-2,Xbox Game Pass,MSFT-4,service,detail,Suscripción de juegos,Service Manager,Gaming
MSFT-4-2-1,Game Pass Ultimate,MSFT-4-2,service,detail,Suscripción completa con Xbox Live Gold,Product Manager,Gaming
MSFT-4-2-2,Game Pass for PC,MSFT-4-2,service,detail,Suscripción de juegos para PC,Product Manager,Gaming

GOOGL,Alphabet Inc.,,company,detail,Empresa matriz de Google y otras subsidiarias,CEO,Executive
GOOGL-1,Búsqueda y Publicidad,GOOGL,service,detail,Unidad de negocio de búsqueda y publicidad digital,VP Search & Ads,Advertising
GOOGL-1-1,Google Search,GOOGL-1,service,detail,Motor de búsqueda principal,Service Manager,Search
GOOGL-1-1-1,Búsqueda Web,GOOGL-1-1,service,detail,Búsqueda de páginas web,Product Manager,Search
GOOGL-1-1-2,Búsqueda de Imágenes,GOOGL-1-1,service,detail,Búsqueda de imágenes y fotos,Product Manager,Search
GOOGL-1-2,Google Ads,GOOGL-1,service,detail,Plataforma de publicidad digital,Service Manager,Advertising
GOOGL-1-2-1,Google Search Ads,GOOGL-1-2,service,detail,Publicidad en resultados de búsqueda,Product Manager,Advertising
GOOGL-1-2-2,Google Display Ads,GOOGL-1-2,service,detail,Publicidad en sitios web,Product Manager,Advertising
GOOGL-2,Servicios en la Nube,GOOGL,service,detail,Unidad de negocio de computación en la nube,VP Cloud Services,Cloud
GOOGL-2-1,Google Cloud Platform,GOOGL-2,service,detail,Plataforma de computación en la nube,Service Manager,Cloud
GOOGL-2-1-1,Google Compute Engine,GOOGL-2-1,service,detail,Servicios de computación virtual,Product Manager,Cloud
GOOGL-2-1-2,Google Cloud Storage,GOOGL-2-1,service,detail,Almacenamiento en la nube,Product Manager,Cloud
GOOGL-2-2,Google Workspace,GOOGL-2,service,detail,Suite de productividad empresarial,Service Manager,Productivity
GOOGL-2-2-1,Gmail,GOOGL-2-2,service,detail,Correo electrónico empresarial,Product Manager,Communication
GOOGL-2-2-2,Google Drive,GOOGL-2-2,service,detail,Almacenamiento y colaboración,Product Manager,Storage
GOOGL-2-2-3,Google Docs,GOOGL-2-2,service,detail,Procesador de texto colaborativo,Product Manager,Productivity
GOOGL-3,Dispositivos Móviles,GOOGL,product,detail,Unidad de negocio de dispositivos móviles,VP Mobile Devices,Products
GOOGL-3-1,Android,GOOGL-3,product,detail,Sistema operativo móvil,Product Manager,Mobile
