ID,Name,Type,Subtitle,URL
P001,Laptop Gaming Pro,laptop,Alto rendimiento para juegos,https://ejemplo.com/laptop-gaming
P002,Smartphone Ultra,smartphone,Cámara profesional integrada,https://ejemplo.com/smartphone-ultra
P003,Tablet Pro,tablet,Perfecta para creativos,https://ejemplo.com/tablet-pro
P004,Auriculares Wireless,audio,Cancelación de ruido activa,https://ejemplo.com/auriculares
P005,Monitor 4K,monitor,Pantalla de alta resolución,https://ejemplo.com/monitor-4k
P006,Teclado Mecánico,peripheral,Switches Cherry MX,https://ejemplo.com/teclado-mecanico
P007,Mouse Gaming,peripheral,25600 DPI óptico,https://ejemplo.com/mouse-gaming
P008,Webcam HD,camera,1080p con micrófono,https://ejemplo.com/webcam-hd
P009,Altavoces Bluetooth,audio,Sonido envolvente 360°,https://ejemplo.com/altavoces-bluetooth
P010,Disco SSD 1TB,storage,Velocidad de lectura 3500 MB/s,https://ejemplo.com/ssd-1tb 
