Node,Name,Parent,Type,Img,Description,Position,Department
AAPL,Apple Inc.,,company,business,Empresa tecnológica líder en dispositivos móviles,CEO,Executive
AAPL-1,Tim Cook,AAPL,profile,work,CEO de Apple desde 2011,Chief Executive Officer,Executive
AAPL-1-1,Jeff Williams,AAPL-1,profile,build,COO de Apple,Chief Operating Officer,Operations
AAPL-1-1-1,Sabih Khan,AAPL-1-1,profile,factory,VP de Operaciones,VP Operations,Operations
AAPL-1-1-1-1,John Felton,AAPL-1-1-1,profile,warehouse,Director de Operaciones Globales,Director Global Operations,Operations
AAPL-1-1-1-1-1,Chris Kondo,AAPL-1-1-1-1,profile,warehouse,Manager de Operaciones,Operations Manager,Operations
AAPL-1-1-2,Jeffrey Maestas,AAPL-1-1,profile,inventory_2,VP de Supply Chain,VP Supply Chain,Supply Chain
AAPL-1-1-2-1,Isabel Ge Mahe,AAPL-1-1-2,profile,factory,Director de Supply Chain China,Director China Supply Chain,Supply Chain
AAPL-1-1-2-1-1,Li Wei,AAPL-1-1-2-1,profile,local_shipping,Manager de Logística China,China Logistics Manager,Supply Chain
AAPL-1-2,Deirdre O'Brien,AAPL-1,profile,diversity_3,VP de Recursos Humanos,VP Human Resources,HR
AAPL-1-2-1,Denise Young Smith,AAPL-1-2,profile,school,Directora de Diversidad,Director Diversity,HR
AAPL-1-2-1-1,Carol Surface,AAPL-1-2-1,profile,people_alt,Manager de Diversidad,Manager Diversity,HR
AAPL-1-2-1-1-1,Sarah Johnson,AAPL-1-2-1-1,profile,people_alt,Especialista en Diversidad,Diversity Specialist,HR
AAPL-1-3,Kate Adams,AAPL-1,profile,verified_user,Secretaria General y VP Legal,General Counsel,Legal
AAPL-1-3-1,Steve Dowling,AAPL-1-3,profile,email,VP de Comunicaciones,VP Communications,Communications
AAPL-1-3-1-1,Peter Stern,AAPL-1-3-1,profile,email,Director de Comunicaciones,Director Communications,Communications
AAPL-1-3-1-1-1,Emma Wilson,AAPL-1-3-1-1,profile,email,Manager de Relaciones Públicas,PR Manager,Communications
AAPL-1-4,Phil Schiller,AAPL-1,profile,local_offer,VP de Marketing Mundial,VP Worldwide Marketing,Marketing
AAPL-1-4-1,Tor Myhren,AAPL-1-4,profile,storefront,VP de Marketing,VP Marketing,Marketing
AAPL-1-4-1-1,Phil Schiller,AAPL-1-4-1,profile,point_of_sale,Director de Comunicaciones de Producto,Director Product Communications,Marketing
AAPL-1-4-1-1-1,Alex Chen,AAPL-1-4-1-1,profile,storefront,Manager de Marketing Digital,Digital Marketing Manager,Marketing
AAPL-1-5,Eddy Cue,AAPL-1,profile,developer_mode,VP de Servicios y Software,VP Services & Software,Software
AAPL-1-5-1,Eddy Cue,AAPL-1-5,profile,live_tv,VP de Apple Music,VP Apple Music,Entertainment
AAPL-1-5-1-1,Peter Stern,AAPL-1-5-1,profile,live_tv,Director de Apple Music,Director Apple Music,Entertainment
AAPL-1-5-1-1-1,David Smith,AAPL-1-5-1-1,profile,music_note,Manager de Contenido Musical,Music Content Manager,Entertainment
AAPL-1-5-2,Peter Stern,AAPL-1-5,profile,movie,VP de Apple TV+,VP Apple TV+,Entertainment
AAPL-1-5-2-1,Zack Van Amburg,AAPL-1-5-2,profile,movie,Director de Apple TV+,Director Apple TV+,Entertainment
