Node,Parent,Name,Description,Type,Thumbnail,Color
CEO,,Ana García,CEO - Chief Executive Officer,detail,detail.svg,#e74c3c
CTO,CEO,Marco Silva,CTO - Chief Technology Officer,detail,detail.svg,#3498db
CFO,CEO,Lisa Chen,CFO - Chief Financial Officer,detail,detail.svg,#27ae60
CMO,CEO,David Kim,CMO - Chief Marketing Officer,detail,detail.svg,#f39c12
DEV,CTO,Development Department,Software Development,detail,detail.svg,#9b59b6
QA,CTO,Quality Assurance,Testing & Quality,detail,detail.svg,#e67e22
OPS,CTO,Operations,IT Operations,detail,detail.svg,#34495e
FIN,CFO,Finance Team,Financial Management,detail,detail.svg,#16a085
HR,CFO,Human Resources,HR Management,detail,detail.svg,#d35400
MKT,CMO,Marketing Team,Digital Marketing,detail,detail.svg,#c0392b
SALES,CMO,Sales Team,Sales & Business Development,detail,detail.svg,#2980b9
FRONTEND,DEV,Frontend Team,React & Vue Development,detail,detail.svg,#1abc9c
BACKEND,DEV,Backend Team,Node.js & Python Development,detail,detail.svg,#95a5a6
MOBILE,DEV,Mobile Team,iOS & Android Development,detail,detail.svg,#8e44ad 
